DATE;spread;share_prices;EXPINF10YR;DFF;cpi
2007-12-14;1.40;89.38272193548387;2.158626664516129;4.24;0.1694901864845171
2007-12-17;1.40;88.80583161290323;2.1612998870967743;4.31;0.22408476328050908
2007-12-18;1.38;88.61353483870968;2.1621909612903227;4.16;0.24228295554583973
2007-12-19;1.40;88.42123806451613;2.163082035483871;3.98;0.2604811478111704
2007-12-20;1.38;88.22894129032258;2.1639731096774195;4.37;0.278679340076501
2007-12-21;1.35;88.03664451612903;2.164864183870968;4.28;0.2968775323418317
2007-12-24;1.34;87.45975419354839;2.167537406451613;4;0.3514721091378237
2007-12-26;1.34;87.07516064516129;2.16931955483871;4.26;0.38786849366848497
2007-12-27;1.36;86.88286387096774;2.1702106290322583;4.15;0.4060666859338156
2007-12-28;1.37;86.69056709677419;2.1711017032258066;4.01;0.42426487819914627
2007-12-31;1.37;86.11367677419355;2.173774925806452;3.06;0.47885945499513827
2008-01-02;1.40;85.88033387096775;2.1713726870967744;4.11;0.490391633429336
2008-01-03;1.42;85.83928774193548;2.1680793741935487;4.25;0.48372561959820304
2008-01-04;1.46;85.79824161290323;2.164786061290323;4.18;0.4770596057670701
2008-01-07;1.43;85.67510322580645;2.154906122580645;4.27;0.45706156427367134
2008-01-08;1.45;85.6340570967742;2.1516128096774194;4.27;0.4503955504425384
2008-01-09;1.50;85.59301096774193;2.1483194967741936;4.26;0.44372953661140546
2008-01-10;1.58;85.55196483870968;2.145026183870968;4.26;0.4370635227802725
2008-01-11;1.56;85.51091870967741;2.141732870967742;4.23;0.4303975089491396
2008-01-14;1.55;85.38778032258064;2.131852932258065;4.24;0.4103994674557408
2008-01-15;1.56;85.34673419354839;2.128559619354839;4.24;0.4037334536246079
2008-01-16;1.55;85.30568806451613;2.1252663064516133;4.22;0.3970674397934749
2008-01-17;1.58;85.26464193548387;2.121972993548387;4.23;0.390401425962342
2008-01-18;1.62;85.22359580645161;2.1186796806451613;4.17;0.38373541213120904
2008-01-22;1.75;85.05941129032259;2.1055064290322583;3.68;0.35707135680667734
2008-01-23;1.71;85.01836516129032;2.1022131161290325;3.43;0.3504053429755444
2008-01-24;1.71;84.97731903225807;2.0989198032258067;3.47;0.34373932914441147
2008-01-25;1.71;84.9362729032258;2.095626490322581;3.6;0.33707331531327855
2008-01-28;1.71;84.81313451612903;2.0857465516129032;3.5;0.3170752738198797
2008-01-29;1.68;84.77208838709677;2.0824532387096775;3.47;0.3104092599887468
2008-01-30;1.69;84.73104225806452;2.0791599258064517;3.26;0.3037432461576139
2008-01-31;1.71;84.68999612903225;2.075866612903226;3.22;0.2970772323264809
2008-02-01;1.73;84.64895;2.0725733;3.12;0.290411218495348
2008-02-04;1.71;84.39245103448276;2.058993075862069;2.82;0.35003984690261897
2008-02-05;1.72;84.30695137931035;2.054466334482759;2.71;0.36991605637170927
2008-02-06;1.75;84.22145172413794;2.0499395931034483;2.94;0.38979226584079957
2008-02-07;1.75;84.13595206896552;2.045412851724138;3.03;0.40966847530988987
2008-02-08;1.79;84.05045241379311;2.040886110344828;3.05;0.42954468477898017
2008-02-11;1.80;83.79395344827586;2.027305886206897;2.88;0.4891733131862511
2008-02-12;1.84;83.70845379310344;2.0227791448275863;2.91;0.5090495226553414
2008-02-13;1.82;83.62295413793103;2.018252403448276;3.02;0.5289257321244317
2008-02-14;1.82;83.53745448275862;2.013725662068966;3.03;0.548801941593522
2008-02-15;1.85;83.4519548275862;2.009198920689655;2.97;0.5686781510626123
2008-02-19;1.78;83.10995620689656;1.991091955172414;2.94;0.6481829889389736
2008-02-20;1.73;83.02445655172414;1.9865652137931036;3;0.6680591984080639
2008-02-21;1.79;82.93895689655173;1.9820384724137932;3.01;0.6879354078771542
2008-02-22;1.81;82.85345724137932;1.9775117310344827;2.97;0.7078116173462445
2008-02-25;1.77;82.59695827586206;1.9639315068965517;3;0.7674402457535154
2008-02-26;1.80;82.51145862068965;1.9594047655172415;2.85;0.7873164552226057
2008-02-27;1.80;82.42595896551724;1.954878024137931;2.93;0.807192664691696
2008-02-28;1.84;82.34045931034483;1.9503512827586207;3.06;0.8270688741607864
2008-02-29;1.89;82.25495965517241;1.9458245413793105;3.01;0.8469450836298767
2008-03-03;1.89;82.4115735483871;1.9451566;3.1;0.8500249412198051
2008-03-04;1.85;82.53263032258064;1.947086;2.9;0.8416267652802241
2008-03-05;1.91;82.65368709677419;1.9490154000000002;2.93;0.833228589340643
2008-03-06;1.99;82.77474387096774;1.9509448;2.99;0.824830413401062
2008-03-07;2.01;82.89580064516129;1.9528742000000001;2.96;0.8164322374614811
2008-03-10;2.04;83.25897096774193;1.9586624000000001;2.99;0.7912377096427381
2008-03-11;2.03;83.38002774193548;1.9605918;2.95;0.7828395337031571
2008-03-12;2.00;83.50108451612903;1.9625212;2.97;0.774441357763576
2008-03-13;1.97;83.62214129032257;1.9644506000000002;2.98;0.7660431818239951
2008-03-14;2.04;83.74319806451612;1.96638;2.99;0.7576450058844141
2008-03-17;2.13;84.10636838709678;1.9721682;2.69;0.7324504780656711
2008-03-18;2.02;84.22742516129033;1.9740976000000001;2.16;0.7240523021260901
2008-03-19;2.04;84.34848193548387;1.9760270000000002;2.08;0.715654126186509
2008-03-20;2.01;84.46953870967742;1.9779564;2.22;0.7072559502469281
2008-03-24;1.93;84.95376580645161;1.9856740000000002;2.08;0.6736632464886041
2008-03-25;1.98;85.07482258064516;1.9876034;2.42;0.6652650705490231
2008-03-26;2.00;85.19587935483871;1.9895328;2.3;0.656866894609442
2008-03-27;2.00;85.31693612903226;1.9914622000000002;2.27;0.6484687186698611
2008-03-28;2.05;85.4379929032258;1.9933916;2.09;0.6400705427302801
2008-03-31;2.03;85.80116322580645;1.9991798;2.51;0.6148760149115371
2008-04-01;2.00;85.92222;2.0011092;2.38;0.6064778389719561
2008-04-02;1.97;86.00020233333333;2.0084107566666667;2.18;0.6143315311120786
2008-04-03;1.96;86.07818466666666;2.0157123133333337;2.19;0.622185223252201
2008-04-04;1.95;86.156167;2.02301387;2.26;0.6300389153923236
2008-04-07;1.93;86.390114;2.0449185400000003;2.24;0.653599991812691
2008-04-08;1.94;86.46809633333334;2.052220096666667;2.23;0.6614536839528136
2008-04-09;1.95;86.54607866666666;2.0595216533333334;2.2;0.669307376092936
2008-04-10;1.92;86.624061;2.06682321;2.3;0.6771610682330585
2008-04-11;1.94;86.70204333333334;2.074124766666667;2.37;0.6850147603731811
2008-04-14;1.94;86.93599033333334;2.0960294366666665;2.32;0.7085758367935485
2008-04-15;1.94;87.01397266666666;2.1033309933333335;2.32;0.7164295289336711
2008-04-16;1.96;87.091955;2.11063255;2.35;0.7242832210737935
2008-04-17;1.90;87.16993733333334;2.1179341066666666;2.37;0.732136913213916
2008-04-18;1.87;87.24791966666666;2.1252356633333336;2.32;0.7399906053540386
2008-04-21;1.85;87.48186666666666;2.147140333333333;2.28;0.763551681774406
2008-04-22;1.80;87.559849;2.15444189;1.99;0.7714053739145286
2008-04-23;1.77;87.63783133333334;2.1617434466666667;2.18;0.779259066054651
2008-04-24;1.73;87.71581366666666;2.1690450033333333;2.26;0.7871127581947736
2008-04-25;1.73;87.793796;2.17634656;2.28;0.7949664503348961
2008-04-28;1.76;88.027743;2.19825123;2.29;0.8185275267552635
2008-04-29;1.76;88.10572533333334;2.2055527866666664;2.21;0.8263812188953861
2008-04-30;1.74;88.18370766666666;2.2128543433333334;2.37;0.8342349110355085
2008-05-01;1.72;88.26169;2.2201559;2.16;0.8420886031756311
2008-05-02;1.69;88.13270870967742;2.2228433064516127;1.88;0.8474308964115591
2008-05-05;1.69;87.74576483870968;2.2309055258064516;1.85;0.8634577761193432
2008-05-06;1.70;87.61678354838709;2.2335929322580643;1.91;0.8688000693552712
2008-05-07;1.74;87.48780225806452;2.2362803387096775;2.01;0.8741423625911993
2008-05-08;1.74;87.35882096774193;2.23896774516129;1.99;0.8794846558271273
2008-05-09;1.72;87.22983967741935;2.2416551516129033;1.97;0.8848269490630553
2008-05-12;1.71;86.84289580645161;2.249717370967742;1.88;0.9008538287708394
2008-05-13;1.69;86.71391451612902;2.252404777419355;1.93;0.9061961220067675
2008-05-14;1.69;86.58493322580645;2.2550921838709677;2.03;0.9115384152426954
2008-05-15;1.72;86.45595193548387;2.257779590322581;2.03;0.9168807084786235
2008-05-16;1.70;86.32697064516128;2.2604669967741935;1.91;0.9222230017145515
2008-05-19;1.71;85.94002677419354;2.2685292161290325;1.95;0.9382498814223356
2008-05-20;1.72;85.81104548387097;2.271216622580645;1.99;0.9435921746582636
2008-05-21;1.71;85.68206419354838;2.2739040290322583;2.03;0.9489344678941917
2008-05-22;1.67;85.5530829032258;2.276591435483871;2.05;0.9542767611301197
2008-05-23;1.67;85.42410161290321;2.279278841935484;1.99;0.9596190543660478
2008-05-27;1.68;84.9081764516129;2.290028467741936;2.23;0.9809882273097599
2008-05-28;1.63;84.77919516129032;2.2927158741935485;2.08;0.9863305205456879
2008-05-29;1.65;84.65021387096773;2.2954032806451616;2.01;0.991672813781616
2008-05-30;1.61;84.52123258064515;2.2980906870967743;1.98;0.9970151070175439
2008-06-02;1.66;84.08618266666666;2.304785916666667;2.06;0.9916130741334938
2008-06-03;1.65;83.90909533333333;2.3061063333333336;1.95;0.9755264547775876
2008-06-04;1.66;83.732008;2.3074267500000003;1.98;0.9594398354216813
2008-06-05;1.63;83.55492066666666;2.308747166666667;1.98;0.943353216065775
2008-06-06;1.67;83.37783333333333;2.3100675833333333;2.01;0.9272665967098689
2008-06-09;1.56;82.84657133333333;2.3140288333333334;2.02;0.8790067386421502
2008-06-10;1.55;82.669484;2.31534925;1.96;0.8629201192862439
2008-06-11;1.56;82.49239666666666;2.316669666666667;1.95;0.8468334999303376
2008-06-12;1.50;82.31530933333333;2.3179900833333336;2.01;0.8307468805744315
2008-06-13;1.49;82.138222;2.3193105000000003;2.02;0.8146602612185252
2008-06-16;1.50;81.60696;2.32327175;2.06;0.7664004031508065
2008-06-17;1.53;81.42987266666665;2.3245921666666667;1.87;0.7503137837949003
2008-06-18;1.54;81.25278533333332;2.3259125833333334;1.84;0.734227164438994
2008-06-19;1.55;81.07569799999999;2.327233;1.94;0.7181405450830878
2008-06-20;1.56;80.89861066666666;2.328553416666667;1.99;0.7020539257271816
2008-06-23;1.54;80.36734866666666;2.332514666666667;1.98;0.6537940676594629
2008-06-24;1.58;80.19026133333332;2.3338350833333337;1.93;0.6377074483035566
2008-06-25;1.55;80.01317399999999;2.3351555000000004;1.97;0.6216208289476504
2008-06-26;1.60;79.83608666666666;2.3364759166666667;2.05;0.6055342095917442
2008-06-27;1.62;79.65899933333333;2.3377963333333334;1.99;0.5894475902358379
2008-06-30;1.61;79.12773733333333;2.3417575833333335;2.47;0.5411877321681192
2008-07-01;1.61;78.95065;2.343078;2.11;0.525101112812213
2008-07-02;1.58;78.93024774193547;2.343208525806452;1.95;0.4952863599613618
2008-07-03;1.61;78.90984548387097;2.3433390516129036;1.92;0.46547160711051055
2008-07-07;1.62;78.8282364516129;2.34386115483871;1.99;0.34621259570710583
2008-07-08;1.61;78.80783419354839;2.3439916806451615;1.97;0.3163978428562546
2008-07-09;1.65;78.78743193548387;2.344122206451613;1.99;0.28658309000540344
2008-07-10;1.66;78.76702967741934;2.344252732258065;2.01;0.2567683371545523
2008-07-11;1.63;78.74662741935484;2.344383258064516;1.97;0.22695358430370105
2008-07-14;1.64;78.68542064516129;2.344774835483871;2.06;0.1375093257511475
2008-07-15;1.71;78.66501838709677;2.344905361290323;2.16;0.10769457290029631
2008-07-16;1.73;78.64461612903226;2.3450358870967745;1.95;0.07787982004944513
2008-07-17;1.68;78.62421387096774;2.3451664129032257;2.03;0.048065067198593936
2008-07-18;1.66;78.60381161290323;2.3452969387096774;1.96;0.018250314347742748
2008-07-21;1.67;78.54260483870968;2.3456885161290324;1.98;-0.07119394420481082
2008-07-22;1.64;78.52220258064516;2.345819041935484;1.97;-0.10100869705566201
2008-07-23;1.65;78.50180032258065;2.3459495677419353;2.04;-0.13082344990651318
2008-07-24;1.69;78.48139806451613;2.346080093548387;2.06;-0.16063820275736437
2008-07-25;1.68;78.4609958064516;2.3462106193548387;2.13;-0.19045295560821557
